Date,CPI,SPY,DGS6MO,UNRATE,G17
Mar-93,143.3,0.01759349,3.145652174,7,62.5955
Apr-93,143.8,-0.020986303,3.062857143,7.1,63.0726
May-93,144.2,0.02696966,3.1655,7.1,63.2761
Jun-93,144.3,-0.003455299,3.294545455,7,63.3102
Jul-93,144.5,0.002198754,3.257619048,6.9,63.8769
Aug-93,144.8,0.038327177,3.235454545,6.8,63.5221
Sep-93,145,-0.013422836,3.150952381,6.7,63.7217
Oct-93,145.6,0.026081241,3.219,6.8,64.1556
Nov-93,146,-0.010673804,3.3615,6.6,64.4144
Dec-93,146.3,0.0053945,3.335454545,6.5,64.5161
Jan-94,146.3,0.041959855,3.253,6.6,64.7738
Feb-94,146.7,-0.029163385,3.534736842,6.6,65.0805
Mar-94,147.1,-0.047395937,3.914782609,6.5,65.0176
Apr-94,147.2,0.017044729,4.247368421,6.4,65.2041
May-94,147.5,0.015939326,4.785714286,6.1,64.9433
Jun-94,147.9,-0.02933157,4.719545455,6.1,65.0984
Jul-94,148.4,0.039151049,4.9535,6.1,65.2554
Aug-94,149,0.038121188,5.08173913,6,65.1946
Sep-94,149.3,-0.031147959,5.24,5.9,65.5282
Oct-94,149.4,0.034681629,5.621,5.8,66.0152
Nov-94,149.8,-0.039815676,5.975,5.6,66.3292
Dec-94,150.1,-0.000685247,6.504761905,5.5,66.7038
Jan-95,150.5,0.041848724,6.506,5.6,66.9164
Feb-95,150.9,0.040809547,6.308421053,5.4,66.9642
Mar-95,151.2,0.022313718,6.172608696,5.4,67.6335
Apr-95,151.8,0.035195484,6.046315789,5.8,68.0334
May-95,152.1,0.039673819,5.930454545,5.6,68.3531
Jun-95,152.4,0.014273141,5.661818182,5.6,68.8002
Jul-95,152.6,0.038226893,5.6185,5.7,68.8863
Aug-95,152.9,0.00445232,5.650434783,5.7,69.3412
Sep-95,153.1,0.036841399,5.537,5.6,69.5574
Oct-95,153.5,0.002383462,5.564761905,5.5,70.119
Nov-95,153.7,0.044480393,5.505714286,5.6,70.5942
Dec-95,153.9,0.009491541,5.349,5.6,71.2814
Jan-96,154.7,0.041980348,5.132857143,5.6,71.4303
Feb-96,155,0.003190204,4.9665,5.5,71.3343
Mar-96,155.5,0.012720642,5.158571429,5.5,71.4451
Apr-96,156.1,0.015359089,5.267727273,5.6,71.3289
May-96,156.4,0.022700136,5.330909091,5.6,71.66
Jun-96,156.7,0.003505148,5.462,5.3,71.8967
Jul-96,157,-0.039876148,5.524090909,5.5,71.5924
Aug-96,157.2,0.01925925,5.341363636,5.1,72.5339
Sep-96,157.7,0.050466618,5.4535,5.2,72.8247
Oct-96,158.2,0.037643809,5.316363636,5.2,72.713
Nov-96,158.7,0.073004126,5.273684211,5.4,72.8884
Dec-96,159.1,-0.02857159,5.243333333,5.4,73.1429
Jan-97,159.4,0.06700354,5.307619048,5.3,72.7471
Feb-97,159.7,0.009566457,5.265263158,5.2,73.7871
Mar-97,159.8,-0.047769555,5.479,5.2,73.6749
Apr-97,159.9,0.066672803,5.595,5.1,74.4153
May-97,159.9,0.063206821,5.527619048,4.9,74.9718
Jun-97,160.2,0.037064326,5.338571429,5,75.5317
Jul-97,160.4,0.083466803,5.329545455,4.9,75.5323
Aug-97,160.8,-0.051803604,5.401428571,4.8,75.9129
Sep-97,161.2,0.044260188,5.295714286,4.9,76.4032
Oct-97,161.5,-0.020925399,5.299090909,4.7,76.3931
Nov-97,161.7,0.038696684,5.376666667,4.6,77.0672
Dec-97,161.8,0.01503247,5.451363636,4.7,77.5543
Jan-98,162,0.016909107,5.2305,4.6,77.6945
Feb-98,162,0.069294167,5.274210526,4.6,78.612
Mar-98,162,0.045778797,5.248181818,4.7,79.1021
Apr-98,162.2,0.015701892,5.262857143,4.3,79.1683
May-98,162.6,-0.020769409,5.3565,4.4,79.6084
Jun-98,162.8,0.039266535,5.323636364,4.5,79.9802
Jul-98,163.2,-0.010374102,5.227727273,4.5,80.6492
Aug-98,163.4,-0.141179715,5.151904762,4.5,81.4548
Sep-98,163.5,0.059895023,4.81047619,4.6,82.212
Oct-98,163.9,0.084899974,4.196190476,4.5,82.9309
Nov-98,164.1,0.055681808,4.586842105,4.4,83.5919
Dec-98,164.4,0.061894105,4.568181818,4.4,83.9696
Jan-99,164.7,0.038664536,4.488421053,4.3,84.3467
Feb-99,164.7,-0.032068113,4.607368421,4.4,84.4865
Mar-99,164.8,0.038947836,4.646521739,4.2,84.5212
Apr-99,165.9,0.04049235,4.544545455,4.3,84.8275
May-99,166,-0.022865945,4.746,4.2,85.3596
Jun-99,166,0.052202296,5.029545455,4.3,84.8466
Jul-99,166.7,-0.02809692,4.753809524,4.3,84.5061
Aug-99,167.1,-0.005178683,5.088181818,4.2,86.2464
Sep-99,167.8,-0.025082947,5.084285714,4.2,86.1707
Oct-99,168.1,0.067074596,5.2005,4.1,86.7671
Nov-99,168.4,0.016651063,5.428,4.1,86.6929
Dec-99,168.8,0.054521321,5.684090909,4,87.0633
Jan-00,169.3,-0.047454888,5.7595,4,87.4252
Feb-00,170,-0.015226204,5.9955,4.1,87.926
Mar-00,171,0.09413334,6.113478261,4,88.1101
Apr-00,170.9,-0.032667799,6.069473684,3.8,88.3106
May-00,171.2,-0.015722567,6.389090909,4,88.8487
Jun-00,172.2,0.017286276,6.238636364,4,88.7978
Jul-00,172.7,-0.01338464,6.2735,4,89.3119
Aug-00,172.7,0.065340738,6.354782609,4.1,89.7109
Sep-00,173.6,-0.057230725,6.2495,3.9,89.3331
Oct-00,173.9,-0.002177361,6.315714286,3.9,90.4924
Nov-00,174.2,-0.074652686,6.339047619,3.9,90.965
Dec-00,174.6,-0.008268622,5.923,3.9,91.6804
1-Jan,175.6,0.047662795,5.146190476,4.2,91.6261
1-Feb,176,-0.095387075,4.888947368,4.2,91.9626
1-Mar,176.1,-0.058571983,4.435454545,4.3,92.3118
1-Apr,176.4,0.088362408,3.9855,4.4,92.8872
1-May,177.3,-0.005606059,3.738181818,4.3,93.162
1-Jun,177.7,-0.026597278,3.559047619,4.5,93.2168
1-Jul,177.4,-0.007381276,3.556666667,4.6,93.04
1-Aug,177.4,-0.059332258,3.386521739,4.9,92.79
1-Sep,178.1,-0.08506362,2.705882353,5,93.1547
1-Oct,177.6,0.016823095,2.170909091,5.3,92.8361
1-Nov,177.5,0.077977307,1.924,5.5,92.8395
1-Dec,177.4,0.002191855,1.8155,5.7,92.5334
2-Jan,177.7,-0.006392903,1.770952381,5.7,92.0304
2-Feb,178,-0.017935982,1.863684211,5.7,91.4079
2-Mar,178.5,0.030319461,2.0565,5.7,91.1751
2-Apr,179.3,-0.055457722,1.975,5.9,90.8767
2-May,179.5,-0.005933363,1.911363636,5.8,90.375
2-Jun,179.6,-0.07703784,1.8325,5.8,89.8626
2-Jul,180,-0.075596125,1.736363636,5.8,89.3288
2-Aug,180.5,0.006801493,1.637272727,5.7,89.2201
2-Sep,180.8,-0.108847405,1.6385,5.7,88.7478
2-Oct,181.2,0.087135734,1.589545455,5.7,88.4755
2-Nov,181.5,0.061681314,1.297894737,5.9,87.9631
2-Dec,181.8,-0.061183244,1.267619048,6,87.9329
3-Jan,182.6,-0.019802122,1.221904762,5.8,88.5452
3-Feb,183.6,-0.013478641,1.195263158,5.9,88.5362
3-Mar,183.9,-0.001884674,1.156666667,5.9,89.2097
3-Apr,183.2,0.088985083,1.169047619,6,89.6389
3-May,182.9,0.054836353,1.106190476,6.1,90.0271
3-Jun,183.1,0.007014488,0.943333333,6.3,90.7645
3-Jul,183.7,0.021704095,0.972727273,6.2,90.7437
3-Aug,184.5,0.02062574,1.052380952,6.1,90.6268
3-Sep,185.1,-0.014688735,1.029047619,6.1,90.7241
3-Oct,184.9,0.057571144,1.019545455,6,90.4879
3-Nov,185,0.010921083,1.042222222,5.8,90.9823
3-Dec,185.5,0.045373678,1.010909091,5.7,90.4919
4-Jan,186.3,0.024588506,0.99,5.7,91.2395
4-Feb,186.7,0.013570546,1.011052632,5.6,91.3384
4-Mar,187.1,-0.016693004,1.009130435,5.8,91.069
4-Apr,187.4,-0.015481466,1.109047619,5.6,90.4913
4-May,188.2,0.017123422,1.3335,5.6,90.4697
4-Jun,188.9,0.014796968,1.635238095,5.6,90.5899
4-Jul,189.1,-0.028686156,1.696190476,5.5,91.0614
4-Aug,189.2,0.002436009,1.76,5.4,90.8452
4-Sep,189.8,0.005849799,1.91047619,5.4,91.4453
4-Oct,190.8,0.017100929,2.0515,5.5,91.5595
4-Nov,191.7,0.041431204,2.3245,5.4,92.1763
4-Dec,191.7,0.028316474,2.496818182,5.4,92.2532
5-Jan,191.6,-0.017802499,2.6755,5.3,92.4067
5-Feb,192.4,0.020903744,2.845789474,5.4,92.9687
5-Mar,193.1,-0.022133843,3.086818182,5.2,92.6
5-Apr,193.7,-0.014881266,3.144285714,5.2,92.9761
5-May,193.6,0.032224595,3.170952381,5.1,93.6446
5-Jun,193.7,-0.002510714,3.221818182,5,92.9303
5-Jul,194.9,0.04245179,3.5265,5,93.6109
5-Aug,196.1,-0.009374178,3.784782609,4.9,93.6958
5-Sep,198.8,0.00375258,3.793809524,5,93.7958
5-Oct,199.1,-0.019494782,4.125,5,94.6226
5-Nov,198.1,0.043952145,4.295,5,94.8491
5-Dec,198.1,-0.007176473,4.327619048,4.9,95.5841
